Country,Region,percent,avg income,Column2,Column3,Column4,Column5,Column6,Column7,,region,avg income,percent,,
Saudi Arabia,MEA,0.164%,29081.27143,Saudi Arabia,47%,49%,50%,51%,0.4925,,MEA,40615.6,0.855,,
Brazil,LA,0.299%,43648.65714,Brazil,46%,47%,50%,53%,0.49,,MEA,19498.11429,0.2925,,
Qatar,MEA,0.169%,825.9285714,Qatar,47%,48%,49%,50%,0.485,,MEA,249104.1143,0.565,,
Italy,WE,0.135%,1169620.6,Italy,43%,45%,47%,48%,0.4575,,MEA,22507.85714,0.765,,
Estonia,CEE,0.168%,523003.7143,Estonia,41%,42%,47%,48%,0.445,,MEA,106016.3286,0.58,,
Slovenia,CEE,0.148%,25420.84286,Slovenia,41%,43%,45%,46%,0.4375,,MEA,47687.62857,0.7025,,
Spain,WE,0.139%,96862.87143,Spain,42%,44%,45%,44%,0.4375,,MEA,142108.6571,0.6525,,
Portugal,WE,0.132%,372543.6714,Portugal,38%,39%,40%,40%,0.3925,,MEA,30929.12857,0.8075,,
Hungary,CEE,0.231%,43232.17143,Hungary,36%,38%,39%,41%,0.385,,MEA,33171.85714,0.6025,,
Slovakia,CEE,0.124%,37466.08571,Slovakia,35%,36%,37%,40%,0.37,,MEA,825.9285714,0.485,,
Taiwan,AP,0.085%,209506.6286,Taiwan,34%,36%,38%,37%,0.3625,,MEA,29081.27143,0.4925,,
South Korea,AP,0.108%,646052.5857,South Korea,32%,35%,38%,40%,0.3625,,MEA,98349.18571,0.335,,
France,WE,0.166%,126429.6429,France,32%,34%,36%,37%,0.3475,,MEA,63170.14286,0.74,,
South Africa,MEA,0.258%,98349.18571,South Africa,32%,33%,34%,35%,0.335,,MEA,17388.07143,0.59,,
Czech Republic,CEE,0.162%,48620.07143,Czech Republic,32%,33%,34%,35%,0.335,,NA,798340.1571,0.245,,
Ireland,WE,0.108%,133555.9143,Ireland,29%,32%,33%,34%,0.32,,NA,13237885.86,0.1725,,
Singapore,AP,0.177%,178913.5714,Singapore,27%,30%,32%,33%,0.305,,WE,1454263.571,0.2125,,
Israel,MEA,0.088%,19498.11429,Israel,27%,29%,30%,31%,0.2925,,WE,425865.6,0.2325,,
Netherlands,WE,0.145%,130784.7,Netherlands,22%,24%,25%,27%,0.245,,WE,1944670.986,0.2225,,
Canada,NA,0.123%,798340.1571,Canada,22%,24%,25%,27%,0.245,,WE,1433856.757,0.2375,,
Norway,WE,0.184%,254138.0429,Norway,21%,23%,25%,27%,0.24,,WE,126429.6429,0.3475,,
Finland,WE,0.149%,1433856.757,Finland,22%,24%,24%,25%,0.2375,,WE,188948.6,0.23,,
United Kingdom,WE,0.126%,118549.5429,United Kingdom,21%,22%,24%,26%,0.2325,,WE,136137.8,0.6175,,
Switzerland,WE,0.107%,722942.0143,Switzerland,21%,23%,24%,25%,0.2325,,WE,133555.9143,0.32,,
Belgium,WE,0.085%,425865.6,Belgium,22%,23%,24%,24%,0.2325,,WE,1169620.6,0.4575,,
Germany,WE,0.099%,188948.6,Germany,20%,22%,24%,26%,0.23,,WE,130784.7,0.245,,
Denmark,WE,0.145%,1944670.986,Denmark,20%,22%,23%,24%,0.2225,,WE,254138.0429,0.24,,
Sweden,WE,0.186%,212718.3571,Sweden,19%,21%,23%,24%,0.2175,,WE,372543.6714,0.3925,,
Austria,WE,0.077%,1454263.571,Austria,19%,21%,22%,23%,0.2125,,WE,96862.87143,0.4375,,
Australia,AP,0.092%,326571.6857,Australia,18%,20%,21%,23%,0.205,,WE,212718.3571,0.2175,,
New Zealand,AP,0.093%,21751.28571,New Zealand,16%,18%,20%,22%,0.19,,WE,722942.0143,0.2325,,
Japan,AP,0.058%,122439.9143,Japan,16%,18%,19%,21%,0.185,,WE,118549.5429,0.2325,,
United States,NA,0.070%,13237885.86,United States,15%,17%,18%,19%,0.1725,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
