Country,Region,Year,Usage (Million USD)
Panama,LA,2011,74
Paraguay,LA,2017,76
Paraguay,LA,2015,89
Paraguay,LA,2013,115
Paraguay,LA,2011,73
Peru,LA,2017,190
Peru,LA,2015,210
Peru,LA,2013,249
Peru,LA,2011,209
Philippines,AP,2017,388
Philippines,AP,2015,431
Philippines,AP,2013,444
Philippines,AP,2011,338
Poland,CEE,2017,415
Poland,CEE,2015,447
Poland,CEE,2013,563
Poland,CEE,2011,618
Portugal,WE,2017,137
Portugal,WE,2015,145
Portugal,WE,2013,180
Portugal,WE,2011,245
Qatar,MEA,2017,64
Qatar,MEA,2015,72
Qatar,MEA,2013,77
Qatar,MEA,2011,62
Romania,CEE,2017,151
Romania,CEE,2015,161
Romania,CEE,2013,208
Romania,CEE,2011,207
Russia,CEE,2017,1291
Russia,CEE,2015,1341
Russia,CEE,2013,2658
Russia,CEE,2011,3227
Saudi Arabia,MEA,2017,356
Saudi Arabia,MEA,2015,412
Saudi Arabia,MEA,2013,421
Saudi Arabia,MEA,2011,449
Serbia,CEE,2017,51
Serbia,CEE,2015,54
Serbia,CEE,2013,70
Serbia,CEE,2011,104
Singapore,AP,2017,235
Singapore,AP,2015,290
Singapore,AP,2013,344
Singapore,AP,2011,255
Slovakia,CEE,2017,51
Slovakia,CEE,2015,55
Slovakia,CEE,2013,67
Slovakia,CEE,2011,68
Slovenia,CEE,2017,28
Slovenia,CEE,2015,30
Slovenia,CEE,2013,41
Slovenia,CEE,2011,51
South Africa,MEA,2017,241
South Africa,MEA,2015,274
South Africa,MEA,2013,385
South Africa,MEA,2011,564
South Korea,AP,2017,598
South Korea,AP,2015,657
South Korea,AP,2013,712
South Korea,AP,2011,815
Spain,WE,2017,859
Spain,WE,2015,913
Spain,WE,2013,1044
Spain,WE,2011,1216
Sri Lanka,AP,2017,138
Sri Lanka,AP,2015,163
Sri Lanka,AP,2013,187
Sri Lanka,AP,2011,86
Sweden,WE,2017,260
Sweden,WE,2015,288
Sweden,WE,2013,397
Sweden,WE,2011,461
Switzerland,WE,2017,399
Switzerland,WE,2015,448
Switzerland,WE,2013,469
Switzerland,WE,2011,514
Taiwan,AP,2017,254
Taiwan,AP,2015,264
Taiwan,AP,2013,305
Taiwan,AP,2011,293
Thailand,AP,2017,714
Thailand,AP,2015,738
Thailand,AP,2013,869
Thailand,AP,2011,852
Tunisia,MEA,2017,39
Tunisia,MEA,2015,49
Tunisia,MEA,2013,66
Tunisia,MEA,2011,51
Turkey,MEA,2017,208
Turkey,MEA,2015,291
Turkey,MEA,2013,504
Turkey,MEA,2011,526
Ukraine,CEE,2017,108
Ukraine,CEE,2015,129
Ukraine,CEE,2013,444
Ukraine,CEE,2011,647
United Kingdom,WE,2017,1421
United Kingdom,WE,2015,1935
United Kingdom,WE,2013,2019
United Kingdom,WE,2011,1943
United States,NA,2017,8612
United States,NA,2015,9095
United States,NA,2013,9737
United States,NA,2011,9773
Uruguay,LA,2017,51
Uruguay,LA,2015,57
Uruguay,LA,2013,74
Uruguay,LA,2011,85
Venezuela,LA,2017,317
Venezuela,LA,2015,402
Venezuela,LA,2013,1030
Venezuela,LA,2011,668
Vietnam,AP,2017,492
Vietnam,AP,2015,598
Vietnam,AP,2013,620
Vietnam,AP,2011,395
